ticker,date,signal,score,rsi,close,entry,stop,tp1,tp2,exit,exit_reason,rr_planned,ret_pct_net
NMTP,2025-10-27,ЛОНГ,5,37.1,8.09,8.1591,7.78,8.55,8.74,8.55,tp1,1.03,4.591
NMTP,2025-11-16,ЛОНГ,5,38.9,8.19,8.2141,7.92,8.55,8.74,8.55,tp1,1.14,3.889
NMTP,2026-03-26,ЛОНГ,5,28.0,8.35,8.4592,8.1,8.55,8.74,8.55,tp1,0.25,0.873
NMTP,2026-03-27,ЛОНГ,6,25.4,8.28,8.2791,7.92,8.55,8.74,8.55,tp1,0.75,3.072
NMTP,2026-03-28,ЛОНГ,5,25.4,8.28,8.2991,7.92,8.55,8.74,8.55,tp1,0.66,2.823
LENT,2025-10-14,ЛОНГ,5,23.4,1604.5,1615.3073,1463.15,1795.9,1835.49,1795.9,tp1,1.19,10.98
LENT,2025-10-15,ЛОНГ,6,24.9,1610.5,1612.3057,1463.15,1795.9,1835.49,1795.9,tp1,1.23,11.187
FEES,2025-07-13,ЛОНГ,5,33.0,0.06,0.063,0.06,0.07,0.07,0.0665,timeout,2.39,5.5
FEES,2025-10-04,ЛОНГ,5,28.3,0.06,0.0625,0.06,0.07,0.07,0.061,timeout,2.95,-2.649
FEES,2025-10-05,ЛОНГ,5,32.1,0.06,0.063,0.06,0.07,0.07,0.0616,timeout,2.34,-2.409
FEES,2025-10-06,ЛОНГ,5,38.6,0.06,0.0637,0.06,0.07,0.07,0.062,timeout,1.71,-2.919
FEES,2025-10-07,ЛОНГ,7,38.9,0.06,0.0641,0.06,0.07,0.07,0.0624,timeout,1.46,-2.81
FEES,2025-10-08,ЛОНГ,6,33.6,0.06,0.0625,0.06,0.07,0.07,0.0627,timeout,3.01,0.166
FEES,2025-10-09,ЛОНГ,6,38.0,0.06,0.063,0.06,0.07,0.07,0.064,timeout,2.3,1.4
FEES,2025-10-10,ЛОНГ,7,33.2,0.06,0.0615,0.06,0.07,0.07,0.0643,timeout,5.62,4.302
FEES,2025-10-12,ЛОНГ,8,36.8,0.06,0.0622,0.06,0.07,0.07,0.0631,timeout,3.61,1.23
FEES,2025-10-13,ЛОНГ,7,34.5,0.06,0.062,0.06,0.07,0.07,0.0634,timeout,4.07,2.041
FEES,2025-10-14,ЛОНГ,7,32.3,0.06,0.0608,0.06,0.07,0.07,0.0635,timeout,11.34,4.19
FEES,2025-10-15,ЛОНГ,5,42.1,0.06,0.0629,0.06,0.07,0.07,0.0634,timeout,2.51,0.736
FEES,2026-01-09,ШОРТ,-4,71.2,0.08,0.0758,0.08,0.07,0.07,0.0768,timeout,1.37,-1.543
FEES,2026-01-12,ШОРТ,-4,76.5,0.08,0.078,0.08,0.07,0.07,0.0761,timeout,4.0,2.263
PHOR,2025-12-24,ЛОНГ,5,22.2,6162.0,6165.081,5970.52,6460.05,6602.46,6460.05,tp1,1.52,4.585
AFLT,2025-07-11,ЛОНГ,5,26.0,59.17,59.1996,57.08,66.77,68.24,57.08,stop,3.57,-3.78
AFLT,2025-07-12,ЛОНГ,5,27.1,59.33,59.3196,57.23,66.77,68.24,57.23,stop,3.57,-3.723
AFLT,2025-07-13,ЛОНГ,5,24.7,58.37,58.3191,56.15,66.77,68.24,56.15,stop,3.9,-3.919
AFLT,2025-07-28,ЛОНГ,5,30.8,56.53,56.6183,54.22,62.66,64.05,62.66,tp1,2.52,10.471
AFLT,2025-07-29,ЛОНГ,7,34.1,57.07,57.1286,54.78,62.66,64.05,62.66,tp1,2.36,9.482
AFLT,2025-07-30,ЛОНГ,7,33.5,56.88,56.9284,54.57,62.66,64.05,62.66,tp1,2.43,9.868
AFLT,2025-07-31,ЛОНГ,5,34.2,56.98,57.0885,54.85,62.66,64.05,62.66,tp1,2.49,9.559
AFLT,2025-08-01,ЛОНГ,5,34.2,56.98,57.1286,55.22,62.66,64.05,62.66,tp1,2.9,9.482
AFLT,2025-08-04,ЛОНГ,5,35.6,57.18,57.2586,54.04,62.66,64.05,62.66,tp1,1.68,9.233
AFLT,2025-08-05,ЛОНГ,7,35.4,57.13,57.2686,54.0,62.66,64.05,62.66,tp1,1.65,9.214
AFLT,2025-08-06,ЛОНГ,5,47.5,58.91,59.0395,55.43,62.66,64.05,62.66,tp1,1.0,5.932
AFLT,2025-09-16,ЛОНГ,5,40.3,60.13,60.1701,57.77,62.66,64.05,57.77,stop,1.04,-4.189
AFLT,2025-09-18,ЛОНГ,5,39.3,59.54,59.6298,56.98,62.66,64.05,56.98,stop,1.14,-4.644
AFLT,2025-09-29,ЛОНГ,5,27.0,54.68,54.9875,52.22,61.49,62.84,52.22,stop,2.35,-5.233
AFLT,2025-10-04,ЛОНГ,5,17.7,50.49,50.7754,48.08,61.49,62.84,50.1,timeout,3.98,-1.53
AFLT,2025-10-09,ЛОНГ,5,38.3,52.39,52.5363,49.92,61.49,62.84,49.92,stop,3.42,-5.18
AFLT,2025-10-27,ЛОНГ,5,37.2,50.1,50.1351,46.47,53.43,54.61,53.43,tp1,0.9,6.372
AFLT,2025-10-28,ЛОНГ,5,40.7,51.03,51.2256,46.34,53.43,54.61,53.43,tp1,0.45,4.103
AFLT,2025-10-31,ЛОНГ,6,39.2,50.45,50.3652,46.53,53.43,54.61,53.43,tp1,0.8,5.885
AFLT,2025-11-01,ЛОНГ,6,39.2,50.44,50.6153,47.2,53.43,54.61,53.43,tp1,0.82,5.361
AFLT,2025-11-03,ЛОНГ,5,41.0,50.83,50.9054,47.4,53.43,54.61,53.43,tp1,0.72,4.759
AFLT,2025-11-05,ЛОНГ,5,39.6,50.41,50.5252,47.49,53.43,54.61,53.43,tp1,0.96,5.549
AFLT,2025-11-06,ЛОНГ,6,39.5,50.36,50.3452,47.54,53.43,54.61,53.43,tp1,1.1,5.927
AFLT,2026-02-10,ЛОНГ,5,37.3,55.56,55.6178,53.29,57.88,59.16,53.29,stop,0.97,-4.385
AFLT,2026-02-28,ЛОНГ,6,38.5,55.29,55.1776,54.31,57.54,58.81,54.31,stop,2.72,-1.772
AFLT,2026-03-13,ЛОНГ,5,25.9,51.41,51.4057,48.52,52.53,53.69,48.52,stop,0.39,-5.814
AFLT,2026-03-18,ЛОНГ,5,21.5,50.44,50.4652,48.64,52.53,53.69,48.64,stop,1.13,-3.817
AFLT,2026-03-24,ЛОНГ,7,23.5,49.85,49.8749,48.54,52.53,53.69,48.54,stop,1.99,-2.877
AFLT,2026-03-25,ЛОНГ,8,30.9,50.35,50.4852,48.98,52.53,53.69,48.98,stop,1.36,-3.182
AFLT,2026-03-26,ЛОНГ,7,26.6,49.58,49.5448,48.54,52.53,53.69,48.54,stop,2.97,-2.228
AFLT,2026-03-27,ЛОНГ,7,20.8,48.14,48.1641,46.92,52.53,53.69,49.9,timeout,3.51,3.404
AFLT,2026-03-28,ЛОНГ,8,21.1,48.16,48.3141,46.99,52.53,53.69,49.66,timeout,3.18,2.586
AFLT,2026-03-29,ЛОНГ,8,25.2,48.47,48.5142,47.3,52.53,53.69,47.3,stop,3.31,-2.703
AFLT,2026-03-30,ЛОНГ,6,23.1,47.98,48.004,46.74,52.53,53.69,49.77,timeout,3.58,3.479
